,State,Area,LHS,HS,SC,BD
1149,LA,Caldwell Parish,24.1,43.2,20.9,11.8
1150,LA,Cameron Parish,16.5,36.7,29.8,16.9
1151,LA,Catahoula Parish,23.0,42.1,21.8,13.1
1152,LA,Claiborne Parish,22.4,39.7,24.9,13.0
1153,LA,Concordia Parish,22.9,41.2,24.6,11.3
1154,LA,De Soto Parish,18.7,40.2,27.6,13.5
1155,LA,East Baton Rouge Parish,9.8,27.4,28.6,34.2
1156,LA,East Carroll Parish,29.6,36.6,22.6,11.3
1157,LA,East Feliciana Parish,17.6,44.2,25.2,12.9
1158,LA,Evangeline Parish,28.7,36.6,22.8,11.9
1159,LA,Franklin Parish,25.9,40.3,21.9,11.9
1160,LA,Grant Parish,19.0,42.9,28.7,9.3
1161,LA,Iberia Parish,22.2,41.3,22.8,13.7
1162,LA,Iberville Parish,22.6,39.7,24.3,13.4
1163,LA,Jackson Parish,20.0,43.3,23.1,13.6
